ID,Año_del_hecho,Sexo_de_la_victima,Grupo_de_edad_de_la_victima,Mes_del_hecho,Dia_del_hecho,Departamento_del_hecho,Municipio_del_hecho,Lesion_fatal_de_causa_externa,Estado
608,2016,Mujer,(30 a 34),Enero,Miércoles,Valle del Cauca,Florida,Violenta - Homicidios,Datos definitivos
609,2016,Hombre,(20 a 24),Enero,Domingo,Valle del Cauca,Palmira,Violenta - Homicidios,Datos definitivos
610,2016,Hombre,(15 a 17),Enero,Domingo,Valle del Cauca,Pradera,Violenta - Homicidios,Datos definitivos
611,2016,Hombre,(25 a 29),Enero,Martes,Valle del Cauca,Palmira,Violenta - Homicidios,Datos definitivos
612,2016,Hombre,(25 a 29),Enero,Martes,Valle del Cauca,Candelaria,Violenta - Homicidios,Datos definitivos
613,2016,Hombre,(25 a 29),Enero,Viernes,Valle del Cauca,El Cerrito,Violenta - Homicidios,Datos definitivos
614,2016,Hombre,(15 a 17),Enero,Sábado,Valle del Cauca,El Cerrito,Violenta - Homicidios,Datos definitivos
615,2016,Mujer,(20 a 24),Enero,Sábado,Valle del Cauca,Florida,Violenta - Homicidios,Datos definitivos
616,2016,Hombre,(25 a 29),Enero,Domingo,Valle del Cauca,Florida,Violenta - Homicidios,Datos definitivos
617,2016,Hombre,(18 a 19),Enero,Martes,Norte de Santander,Labateca,Violenta - Homicidios,Datos definitivos
618,2016,Hombre,(25 a 29),Enero,Viernes,Nariño,Pasto,Violenta - Homicidios,Datos definitivos
619,2016,Hombre,(20 a 24),Enero,Viernes,Nariño,Pasto,Violenta - Homicidios,Datos definitivos
620,2016,Hombre,(50 a 54),Enero,Jueves,Nariño,Pasto,Violenta - Homicidios,Datos definitivos
621,2016,Hombre,(18 a 19),Enero,Lunes,Nariño,Pasto,Violenta - Homicidios,Datos definitivos
622,2016,Hombre,(50 a 54),Enero,Miércoles,Nariño,Pasto,Violenta - Homicidios,Datos definitivos
623,2016,Hombre,(45 a 49),Enero,Jueves,Nariño,Pasto,Violenta - Homicidios,Datos definitivos
624,2016,Mujer,(25 a 29),Enero,Jueves,Putumayo,Puerto Asís,Violenta - Homicidios,Datos definitivos
625,2016,Mujer,(35 a 39),Enero,Sábado,Nariño,El Rosario,Violenta - Homicidios,Datos definitivos
626,2016,Hombre,(20 a 24),Enero,Sábado,Nariño,El Rosario,Violenta - Homicidios,Datos definitivos
627,2016,Hombre,(20 a 24),Enero,Sábado,Nariño,Pasto,Violenta - Homicidios,Datos definitivos
628,2016,Hombre,(20 a 24),Enero,Domingo,Cauca,Patía,Violenta - Homicidios,Datos definitivos
629,2016,Hombre,(40 a 44),Enero,Sábado,Casanare,Paz de Ariporo,Violenta - Homicidios,Datos definitivos
630,2016,Hombre,(30 a 34),Enero,Viernes,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
631,2016,Hombre,(20 a 24),Enero,Sábado,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
632,2016,Hombre,(18 a 19),Enero,Lunes,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
633,2016,Mujer,(25 a 29),Enero,Miércoles,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
634,2016,Hombre,(18 a 19),Enero,Jueves,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
635,2016,Hombre,(20 a 24),Enero,Jueves,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
636,2016,Hombre,(45 a 49),Enero,Viernes,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
637,2016,Hombre,(35 a 39),Enero,Miércoles,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
638,2016,Hombre,(35 a 39),Enero,Viernes,Risaralda,Dosquebradas,Violenta - Homicidios,Datos definitivos
639,2016,Hombre,(75 a 79),Enero,Sábado,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
640,2016,Hombre,(25 a 29),Enero,Martes,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
641,2016,Hombre,(20 a 24),Enero,Martes,Risaralda,La Virginia,Violenta - Homicidios,Datos definitivos
642,2016,Hombre,(25 a 29),Enero,Martes,Risaralda,Guática,Violenta - Homicidios,Datos definitivos
643,2016,Mujer,(25 a 29),Enero,Martes,Risaralda,Guática,Violenta - Homicidios,Datos definitivos
644,2016,Hombre,(25 a 29),Enero,Jueves,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
645,2016,Hombre,(25 a 29),Enero,Jueves,Caldas,Belalcázar,Violenta - Homicidios,Datos definitivos
646,2016,Hombre,(20 a 24),Enero,Domingo,Risaralda,La Celia,Violenta - Homicidios,Datos definitivos
647,2016,Hombre,(30 a 34),Enero,Martes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
648,2016,Mujer,(30 a 34),Enero,Martes,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
649,2016,Hombre,(45 a 49),Enero,Sábado,Risaralda,Pereira,Violenta - Homicidios,Datos definitivos
650,2016,Indeterminado,(20 a 24),Enero,Martes,Quindío,Armenia,Violenta - Homicidios,Datos definitivos
651,2016,Hombre,(30 a 34),Enero,Sábado,Risaralda,Dosquebradas,Violenta - Homicidios,Datos definitivos
652,2016,Hombre,(25 a 29),Enero,Martes,Huila,Acevedo,Violenta - Homicidios,Datos definitivos
653,2016,Hombre,(50 a 54),Enero,Viernes,Huila,Palestina,Violenta - Homicidios,Datos definitivos
654,2016,Hombre,(40 a 44),Enero,Viernes,Huila,Pitalito,Violenta - Homicidios,Datos definitivos
655,2016,Hombre,(20 a 24),Enero,Viernes,Huila,Isnos,Violenta - Homicidios,Datos definitivos
656,2016,Hombre,(45 a 49),Enero,Martes,Huila,Oporapa,Violenta - Homicidios,Datos definitivos
657,2016,Hombre,(20 a 24),Enero,Domingo,Huila,Pitalito,Violenta - Homicidios,Datos definitivos
658,2016,Hombre,(55 a 59),Enero,Martes,Huila,Pitalito,Violenta - Homicidios,Datos definitivos
